id,name,image,easy,medium,difficulty,description
1,"Bench Dips",bench_dips1,"perform 10 Bench Dips","perform 20 Bench Dips","perform 40 Bench Dips","Set up for the bench dip by placing 2 flat benches parallel to one another to around 4-5 feet apart (you may need to adjust the width to suit your height).Put your heels on the edge of one bench at around shoulder width apart. Place your hands on the edge of the other bench. This is the starting position for the exercise. Keeping your body close to the bench, slowly dip down until your elbows are at the same height as your shoulders. Slowly push back up, squeezing through the triceps. Do not lock the elbows out at the top of the exercise, and repeat.
"
2,"Crunch Cycle",crunch_cycle1,"Perform 10 bicycle crunches","Perform 20 bicycle crunches","Perform 40 bicycle crunches","Lie flat on the floor with your lower back pressed to the ground (pull your navel in to also target your deep abs).Put your hands behind your head, then bring your knees in towards your chest and lift your shoulder blades off the ground, but be sure not to pull on your neck.Straighten your right leg out to about a 45-degree angle to the ground while turning your upper body to the left, bringing your right elbow towards the left knee. Make sure your rib cage is moving and not just your elbows.Now switch sides and do the same motion on the other side to complete one rep.Do three sets of 20 reps.
"
3,"Crunch Leg Up",crunch_leg_up1,"Perform 30 leg-up chrunches","Perform 30 leg-up chrunches","Perform 90 leg-up chrunches","Start laying down on your back with your legs extended up toward the ceiling. Lace your fingertips behind your head and reach up across your body with one hand. Continue slow and controlled for one minute, alternating sides.
"
4,Crunch,crunch1,"Perform 20 basic crunches","Perform 40 basic crunches","Perform 80 basic crunches","Lie on your back, bend your knees, placing your hands on the sides of your head. Contract your abs and flatten your lower back against the floor. Slowly lift your shoulder blades one or two inches off the floor. Exhale as you lift, keep your neck straight and chin up. Hold for a few seconds (don&apos;t hold your breath). Slowly lower while keeping your abs contracted."
5,"High knees",highknees1,"perform 40 high knees","perform 60 high knees","perform 120 high knees","It simply involves you performing a typical running motion while lifting your knees high into the air. you must ensure that your legs are at 90-degree angles when being lifted high into the air. Point your toes forward in order to maintain the correct form and to really benefit from this simple exercise. Also, make sure you do not land on the heels of your feet. Instead, remain on the balls of your feet in order to avoid injury."
6,"Jumping Jack",jumpingjack1,"perform 40 jumping jacks","perform 80 jumping jacks","perform 120 jumping jacks","To perform  jumping jacks stand upright with your legs together and arms next to the sides of your body.Jump your legs apart so that they are wider your hip width.  At the same time raise your arms out to the sides to shoulder level and higher to form a star shape.Return your arms and legs by jumping back in.  Be light on your feet and keep your knees slightly bent.Breathe out as you jump out with your legs and breathe in as you return your arms and legs back in to the start."
7,Lunge,lunge1,"perform 10 lunges","perform 20 lunges","perform 30 lunges","To perform a lunge, you must first begin by standing up straight with your shoulders back and relaxed and your chin up. Remember to contract your abdominal and core muscles! Next, step forward with one leg, lowering your hips until both knees are bent at about a 90-degree angle. It is important to keep your front knee directly above your ankle, not pushed out too far, and to make sure your other knee isnâ€™t touching the floor. Maintain the weight in your heels as you then push up to the starting position"
8,Plank,plank1,"perform 20 plank with Leg lift","perform 30 plank with Leg lift","perform 40 plank with Leg lift","Get into pushup position on the floor. Now bend your elbows 90 degrees and rest your weight on your forearms.Your elbows should be directly beneath your shoulders, and your body should form a straight line from your head to your feet. Hold the position.
"
9,Push-Up,pushup1,"perform 10 push-ups","perform 20 push-ups","perform 30 push-ups","In order to perform a push-up and rotation, get into the classic push-up position, but on your way up, remember to rotate your body so your right arm lifts up and extends overhead to form a T shape with your torso. Then, return to your starting position and lower yourself towards the ground. The next step is then to push up and rotate until your left hand is now pointing towards the ceiling.
"
10,Squats,squats1,"perform 10 squats","perform 20 squats","perform 30 squats","Stand up straight with your feet firmly planted on the ground approximately shoulder width apart. To help maintain a straight back as you perform the exercise, it&apos;s a good idea to focus on an object directly ahead of you at eye level. Contract your abdominal muscles as you bend your legs at the knees. Either stretch your arms out ahead of you, lightly position your hands behind your ears or hold your arms at your side as you slowly lower yourself into a squatting position. Lower your body to a position where your thighs are almost parallel to the floor. Return to the starting position and repeat."
